STT,Tỉnh/Thành phố,Vùng miền,Tỉnh lân cận,Index tỉnh lân cận
38,Ninh Thuận,Nam Trung Bộ,"['Khánh Hòa', 'Bình Thuận', 'Lâm Đồng']","[37, 39, 44]"
39,Bình Thuận,Nam Trung Bộ,"['Ninh Thuận', 'Đồng Nai', 'Lâm Đồng', 'Bà Rịa - Vũng Tàu']","[38, 48, 44, 49]"
40,Kon Tum,Tây Nguyên,"['Quảng Nam', 'Quảng Ngãi', 'Gia Lai']","[33, 34, 41]"
41,Gia Lai,Tây Nguyên,"['Kon Tum', 'Đắk Lắk', 'Bình Định', 'Phú Yên,Quảng Ngãi']","[40, 42, 35, 36, 34]"
42,Đắk Lắk,Tây Nguyên,"['Gia Lai', 'Đắk Nông', 'Phú Yên', 'Khánh Hòa', 'Lâm Đồng']","[41, 43, 36, 37, 44]"
43,Đắk Nông,Tây Nguyên,"['Đắk Lắk', 'Lâm Đồng', 'Bình Phước']","[42, 44, 45]"
44,Lâm Đồng,Tây Nguyên,"['Khánh Hòa', 'Ninh Thuận', 'Bình Thuận', 'Đồng Nai', 'Đắk Lắk', 'Đắk Nông', 'Bình Phước']","[37, 38, 39, 48, 42, 43, 45]"
45,Bình Phước,Đông Nam Bộ,"['Đắk Nông', 'Tây Ninh', 'Đồng Nai', 'Bình Dương', 'Lâm Đồng']","[43, 46, 48, 47, 44]"
46,Tây Ninh,Đông Nam Bộ,"['Bình Phước', 'Bình Dương', 'Long An', 'Thành phố Hồ Chí Minh']","[45, 47, 51, 50]"
47,Bình Dương,Đông Nam Bộ,"['Bình Phước', 'Tây Ninh', 'Đồng Nai', 'Thành phố Hồ Chí Minh']","[45, 46, 48, 50]"
48,Đồng Nai,Đông Nam Bộ,"['Bình Dương', 'Lâm Đồng', 'Bình Thuận', 'Thành phố Hồ Chí Minh', 'Bà Rịa - Vũng Tàu', 'Bình Phước']","[47, 44, 39, 50, 49, 45]"
49,Bà Rịa - Vũng Tàu,Đông Nam Bộ,"['Đồng Nai', 'Bình Thuận', 'Thành phố Hồ Chí Minh']","[48, 39, 50]"
50,Thành phố Hồ Chí Minh,Đông Nam Bộ,"['Bình Dương', 'Đồng Nai', 'Tây Ninh', 'Long An', 'Bà Rịa - Vũng Tàu']","[47, 48, 46, 51, 49]"
51,Long An,Tây Nam Bộ,"['Thành phố Hồ Chí Minh', 'Tiền Giang', 'Đồng Tháp', 'Tây Ninh']","[50, 52, 56, 46]"
52,Tiền Giang,Tây Nam Bộ,"['Long An', 'Bến Tre', 'Đồng Tháp', 'Vĩnh Long']","[51, 53, 56, 55]"
53,Bến Tre,Tây Nam Bộ,"['Tiền Giang', 'Trà Vinh', 'Vĩnh Long']","[52, 54, 55]"
54,Trà Vinh,Tây Nam Bộ,"['Bến Tre', 'Vĩnh Long', 'Sóc Trăng']","[53, 55, 61]"
55,Vĩnh Long,Tây Nam Bộ,"['Đồng Tháp', 'Tiền Giang', 'Trà Vinh', 'Cần Thơ']","[56, 52, 54, 59]"
56,Đồng Tháp,Tây Nam Bộ,"['Long An', 'Tiền Giang', 'An Giang', 'Vĩnh Long', 'Cần Thơ', 'Bến Tre']","[51, 52, 57, 55, 59, 53]"
57,An Giang,Tây Nam Bộ,"['Đồng Tháp', 'Kiên Giang', 'Cần Thơ']","[56, 58, 59]"
58,Kiên Giang,Tây Nam Bộ,"['An Giang', 'Cần Thơ', 'Hậu Giang', 'Bạc Liêu', 'Cà Mau']","[57, 59, 60, 62, 63]"
59,Cần Thơ,Tây Nam Bộ,"['Vĩnh Long', 'Hậu Giang', 'Kiên Giang', 'Đồng Tháp', 'An Giang']","[55, 60, 58, 56, 57]"
60,Hậu Giang,Tây Nam Bộ,"['Cần Thơ', 'Sóc Trăng', 'Kiên Giang', 'Bạc Liêu', 'Vĩnh Long']","[59, 61, 58, 62, 55]"
61,Sóc Trăng,Tây Nam Bộ,"['Trà Vinh', 'Hậu Giang', 'Bạc Liêu', 'Vĩnh Long']","[54, 60, 62, 55]"
62,Bạc Liêu,Tây Nam Bộ,"['Sóc Trăng', 'Hậu Giang', 'Kiên Giang', 'Cà Mau']","[61, 60, 58, 63]"
63,Cà Mau,Tây Nam Bộ,"['Bạc Liêu', 'Kiên Giang']","[62, 58]"
